# MsuH m_ini logL logTe M_ass b_ass y_ass m_app b-y dist abs_dist ID_parent age_parent
0.44 1.82984 1.242 3.6856 1.954 2.57 1.926 4.91084260616 0.656289807692 38.3442 38.3442 4223934597.0 1.704821
0.0 0.96634 -0.105 3.7566 5.1 5.503 5.079 6.95242710551 0.431441955128 23.2189 23.2189 2076581098.0 2.716585
-0.31 0.70287 -0.679 3.6858 6.783 7.299 6.74 4.30077608015 0.560020384615 -3.1836 3.1836 2075475628.0 2.423569
0.33 1.15311 0.093 3.7719 4.558 4.941 4.538 7.0885373226 0.413130512821 -31.6072 31.6072 4222211748.0 0.6055005
0.0 1.33419 0.554 3.8297 3.369 3.629 3.351 3.47747301015 0.281353108974 10.4617 10.4617 3149871522.0 1.112628
0.33 3.55184 2.348 4.0589 -0.581 -0.619 -0.595 5.03749715791 0.0162204807692 125.4879 125.4879 3148779333.0 0.2125693
-0.35 0.85383 -0.217 3.757 5.397 5.791 5.377 5.05546517941 0.416727948718 -8.5112 8.5112 2073917437.0 3.558387
0.22 0.7885 -0.65 3.6736 6.784 7.343 6.727 3.797143012 0.616809038462 2.5242 2.5242 2076606305.0 2.075914
0.44 2.9601 1.972 4.0076 0.097 0.076 0.083 4.33910485648 0.0149076602564 68.3519 68.3519 4221297866.0 0.2763303
0.17 1.46345 2.476 5.0306 5.056 4.899 5.051 2.68593693022 -0.150925608974 -3.3521 3.3521 4221746141.0 3.534338
0.22 1.34625 1.207 3.6747 2.094 2.722 2.065 7.58628449928 0.695066987179 118.769 118.769 3149102152.0 4.512159
0.33 1.23756 0.232 3.788 4.19 4.539 4.17 1.50218909404 0.369928333333 -2.8964 2.8964 3147510632.0 0.2362171
-0.1 0.82499 -0.411 3.7201 5.962 6.428 5.933 6.9818983156 0.500089198718 15.8783 15.8783 2074787775.0 2.957968
0.07 1.35753 0.547 3.8289 3.382 3.645 3.364 5.46583039629 0.289268974359 -25.7992 25.7992 3148241057.0 0.7670098
0.07 1.44078 0.794 3.8108 2.772 3.066 2.754 6.0047922039 0.325922467949 43.4381 43.4381 3147623157.0 2.254295
-0.76 1.95679 1.629 4.0118 1.035 1.022 1.022 6.69225153294 0.0409045192308 -127.6221 127.6221 1002358751.0 0.6697175
-0.1 1.71291 1.205 3.8561 1.72 1.917 1.702 5.0792395442 0.229739935897 -45.9886 45.9886 2074905033.0 1.396602
0.28 0.94427 -0.312 3.7221 5.699 6.178 5.669 6.36105912794 0.513320769231 13.4808 13.4808 4222249871.0 0.7420484
0.33 2.12062 1.32 3.9346 1.459 1.508 1.442 3.25565381224 0.0732551923077 22.6362 22.6362 4223312768.0 0.3522463
0.51 0.85413 -0.494 3.6897 6.303 6.85 6.255 6.73989970352 0.598897564103 12.1604 12.1604 4222692750.0 4.682554
-0.1 1.01557 0.088 3.7805 4.586 4.94 4.567 7.18473532655 0.383448942308 32.6007 32.6007 2076768177.0 3.446244
-0.41 1.14234 0.71 3.8134 3.018 3.302 3.001 6.7766384252 0.318642660256 55.0451 55.0451 2074357867.0 4.169664
0.07 1.40579 0.734 3.7153 3.105 3.608 3.081 5.46001364951 0.536354294872 -29.1854 29.1854 1000946663.0 3.275955
-0.04 1.40879 0.828 3.7901 2.713 3.046 2.695 7.12608369574 0.374643333333 -73.7672 73.7672 2075615005.0 2.794906
-0.04 1.40407 0.775 3.8265 2.816 3.079 2.799 -0.438491833771 0.280715320513 -2.2318 2.2318 3148127005.0 2.316494
-0.04 1.44018 0.767 3.8498 2.826 3.045 2.809 7.24385432924 0.259693621795 -73.9241 73.9241 1001189493.0 1.394943
0.33 1.68016 0.887 3.8622 2.492 2.688 2.474 3.14546839159 0.218303814103 13.4279 13.4279 3149559205.0 0.5633465
0.0 1.24455 0.528 3.8001 3.453 3.769 3.435 4.90395390262 0.340196826923 -19.3341 19.3341 3150739819.0 3.005104
-0.35 1.17868 0.469 3.8315 3.616 3.871 3.599 3.23014411619 0.274673044872 -8.3399 8.3399 3149028107.0 1.648539
0.33 1.63282 0.903 3.8293 2.463 2.724 2.445 7.04350872452 0.304471410256 79.4708 79.4708 4221768665.0 1.336332
-0.55 1.29586 0.804 3.8749 2.763 2.934 2.746 1.55524334252 0.189832948718 5.7188 5.7188 1000832644.0 2.128927
-0.76 1.24696 0.713 3.8918 3.004 3.148 2.988 3.7229361493 0.164434711538 13.8363 13.8363 1002872039.0 1.356042
-0.1 0.9565 -0.075 3.7644 5.018 5.404 4.998 -15.7565090998 0.406000224359 -0.000700000000052 0.000700000000052 2076586469.0 2.768534
0.22 0.80792 -0.603 3.6807 6.626 7.171 6.573 6.48389658988 0.600989230769 -9.3264 9.3264 4221572104.0 1.598249
0.11 1.38624 0.589 3.8296 3.272 3.533 3.255 2.29129242688 0.280034391026 -6.3473 6.3473 2075450640.0 0.8905441
0.33 0.94182 -0.278 3.7229 5.611 6.091 5.581 4.76252559099 0.512161730769 6.7446 6.7446 3149469211.0 3.207836
-0.45 0.7552 -0.438 3.73 6.008 6.449 5.985 5.34989708518 0.466359134615 -7.3605 7.3605 1002344011.0 4.466809
0.44 1.05355 0.051 3.7513 4.7 5.132 4.678 6.57631599384 0.461523397436 -23.473 23.473 4224727434.0 5.848247
-0.41 0.87824 -0.089 3.7731 5.059 5.423 5.04 6.30907085344 0.388653685897 17.6395 17.6395 1002344011.0 4.466809
0.0 1.16745 0.362 3.8007 3.87 4.186 3.851 5.50865372933 0.341750929487 21.0629 21.0629 4222087060.0 2.697744
0.44 1.25309 0.378 3.7754 3.833 4.213 3.813 5.74836586043 0.407658429487 23.8943 23.8943 4221571964.0 3.641441
0.17 0.92829 -0.289 3.7274 5.626 6.089 5.599 4.5088488135 0.491910833333 5.9618 5.9618 3148453532.0 2.108887
0.4 2.30062 1.439 3.9596 1.228 1.245 1.212 6.31689155618 0.0648949038462 -99.5121 99.5121 3148779333.0 0.2125693
0.28 2.62884 1.877 3.8888 -0.005 0.108 -0.022 2.5230894485 0.140119262821 -31.5721 31.5721 3149559205.0 0.5633465
-0.21 0.79016 -0.498 3.7134 6.206 6.68 6.176 5.69260800439 0.506521121795 7.8659 7.8659 2076292289.0 0.7267714
-0.51 1.14574 0.73 3.8261 2.968 3.228 2.951 7.52849138085 0.302245865385 78.7671 78.7671 1001951307.0 3.710919
-0.25 1.46288 1.042 3.8054 2.174 2.472 2.157 6.98207826918 0.34317599359 -87.9091 87.9091 3150602199.0 2.647868
